Unable to find working sequences for clonotypes: 
>clonotype976_consensus_1: Could not find Primer Overlap that worked
>clonotype993_consensus_2: Could not find Primer Overlap that worked
>clonotype1007_consensus_1: Could not find Primer Overlap that worked
>clonotype1008_consensus_1: Could not find Primer Overlap that worked
>clonotype1022_consensus_1: Could not find Primer Overlap that worked
>clonotype1024_consensus_1: Could not find Primer Overlap that worked
>clonotype1025_consensus_1: Could not find Primer Overlap that worked
>clonotype1030_consensus_1: Could not find Primer Overlap that worked
>clonotype1044_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype1056_consensus_1: Could not find Primer Overlap that worked
>clonotype1067_consensus_1: Could not find Primer Overlap that worked
>clonotype1084_consensus_1: Could not find Primer Overlap that worked
>clonotype1089_consensus_1: Could not find Primer Overlap that worked
>clonotype1094_consensus_1: Could not find Primer Overlap that worked
>clonotype1103_consensus_1: Could not find Primer Overlap that worked
>clonotype1120_consensus_2: Could not find Primer Overlap that worked
>clonotype1122_consensus_1: Could not find Primer Overlap that worked
>clonotype1124_consensus_1: Could not find Primer Overlap that worked
>clonotype1127_consensus_1: Could not find Primer Overlap that worked
>clonotype1128_consensus_1: Could not find Primer Overlap that worked
>clonotype1131_consensus_1: Could not find Primer Overlap that worked
>clonotype1145_consensus_1: Could not find Primer Overlap that worked
>clonotype1151_consensus_1: Could not find Primer Overlap that worked
>clonotype1153_consensus_1: Could not find Primer Overlap that worked
>clonotype1156_consensus_1: Could not find Primer Overlap that worked
>clonotype1157_consensus_1: Could not find Primer Overlap that worked
>clonotype1160_consensus_2: Could not find Primer Overlap that worked
>clonotype1183_consensus_1: Could not find Primer Overlap that worked
>clonotype1185_consensus_1: Could not find Primer Overlap that worked
>clonotype1204_consensus_1: Could not find Primer Overlap that worked
>clonotype1237_consensus_1: Could not find Primer Overlap that worked
>clonotype1297_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype1298_consensus_1: Could not find Primer Overlap that worked
>clonotype1318_consensus_1: Could not find Primer Overlap that worked
>clonotype1343_consensus_1: Could not find Primer Overlap that worked
>clonotype1365_consensus_1: Could not find Primer Overlap that worked
>clonotype1367_consensus_1: Could not find Primer Overlap that worked
>clonotype1367_consensus_2: Could not find Primer Overlap that worked
>clonotype1371_consensus_1: Could not find Primer Overlap that worked
>clonotype1374_consensus_1: Could not find Primer Overlap that worked
>clonotype1375_consensus_1: Could not find Primer Overlap that worked
>clonotype1380_consensus_1: Could not find Primer Overlap that worked
>clonotype1387_consensus_1: Could not find Primer Overlap that worked
>clonotype1404_consensus_1: Could not find Primer Overlap that worked
>clonotype1423_consensus_1: Could not find Primer Overlap that worked
>clonotype1433_consensus_1: Could not find Primer Overlap that worked
>clonotype1435_consensus_1: Could not find Primer Overlap that worked
>clonotype1437_consensus_1: Could not find Primer Overlap that worked
>clonotype1441_consensus_1: Could not find Primer Overlap that worked
>clonotype1455_consensus_1: Could not find Primer Overlap that worked
>clonotype1476_consensus_1: Could not find Primer Overlap that worked
>clonotype1478_consensus_1: Could not find Primer Overlap that worked
>clonotype1483_consensus_1: Could not find Primer Overlap that worked
>clonotype1487_consensus_1: Could not find Primer Overlap that worked
>clonotype1494_consensus_1: Could not find Primer Overlap that worked
>clonotype1501_consensus_1: Could not find Primer Overlap that worked
>clonotype1503_consensus_1: Could not find Primer Overlap that worked
>clonotype1504_consensus_1: Could not find Primer Overlap that worked
>clonotype1505_consensus_1: Could not find Primer Overlap that worked
>clonotype1516_consensus_1: Could not find Primer Overlap that worked
>clonotype1524_consensus_1: Could not find Primer Overlap that worked
>clonotype1536_consensus_1: Could not find Primer Overlap that worked
>clonotype1538_consensus_1: Could not find Primer Overlap that worked
>clonotype1540_consensus_1: Could not find Primer Overlap that worked
>clonotype1549_consensus_1: Could not find Primer Overlap that worked
>clonotype1551_consensus_1: Could not find Primer Overlap that worked
>clonotype1557_consensus_1: Could not find Primer Overlap that worked
>clonotype1561_consensus_1: Could not find Primer Overlap that worked
>clonotype1564_consensus_1: Could not find Primer Overlap that worked
>clonotype1581_consensus_1: Could not find Primer Overlap that worked
>clonotype1587_consensus_1: Could not find Primer Overlap that worked
>clonotype1591_consensus_1: Could not find Primer Overlap that worked
>clonotype1592_consensus_1: Could not find Primer Overlap that worked
>clonotype1598_consensus_1: Could not find Primer Overlap that worked
>clonotype1602_consensus_1: Could not find Primer Overlap that worked
>clonotype1614_consensus_1: Could not find Primer Overlap that worked
>clonotype1620_consensus_1: Could not find Primer Overlap that worked
>clonotype1621_consensus_1: Could not find Primer Overlap that worked
>clonotype1622_consensus_1: Could not find Primer Overlap that worked
>clonotype1626_consensus_1: Could not find Primer Overlap that worked
>clonotype1628_consensus_1: Could not find Primer Overlap that worked
>clonotype1655_consensus_1: Could not find Primer Overlap that worked
>clonotype1667_consensus_1: Could not find Primer Overlap that worked
>clonotype1685_consensus_1: Could not find Primer Overlap that worked
>clonotype1696_consensus_1: Could not find Primer Overlap that worked
>clonotype1712_consensus_1: Could not find Primer Overlap that worked
>clonotype1715_consensus_1: Could not find Primer Overlap that worked
>clonotype1716_consensus_1: Could not find Primer Overlap that worked
>clonotype1720_consensus_1: Could not find Primer Overlap that worked
>clonotype1741_consensus_1: Could not find Primer Overlap that worked
>clonotype1744_consensus_1: Could not find Primer Overlap that worked
>clonotype1747_consensus_1: Could not find Primer Overlap that worked
>clonotype1760_consensus_1: Could not find Primer Overlap that worked
>clonotype1828_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype1851_consensus_1: Could not find Primer Overlap that worked
>clonotype1851_consensus_2: Could not find Primer Overlap that worked
>clonotype1889_consensus_1: Could not find Primer Overlap that worked
>clonotype1934_consensus_1: Could not find Primer Overlap that worked
>clonotype1940_consensus_1: Could not find Primer Overlap that worked
>clonotype1953_consensus_1: Could not find Primer Overlap that worked
>clonotype1958_consensus_1: Could not find Primer Overlap that worked
>clonotype1969_consensus_1: Could not find Primer Overlap that worked
>clonotype1982_consensus_1: Could not find Primer Overlap that worked
>clonotype2035_consensus_1: Could not find Primer Overlap that worked
>clonotype2042_consensus_2: Could not find Primer Overlap that worked
